household_id,timestamp,appliance_fridge,appliance_washing_machine,appliance_dishwasher,appliance_ev_charging,appliance_ac,appliance_stove,appliance_water_heater,appliance_computers,appliance_misc,battery_soc_percent,battery_soh_percent,battery_charge_kwh,battery_cycle_count,temperature,solar_irradiance,price_per_kwh,total_consumption_kwh
1,2024-10-01 00:00:00,0.14739059858154918,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.1735774187013038,52.0,99.99997916666666,7.0200000000000005,0.0,15.74507122951685,0.0,0.3626357060855326,6.462968017282854
1,2024-10-01 00:30:00,0.12523885277716745,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.164053104398399,54.0,99.99995833333332,7.290000000000001,0.0,14.856767087939646,0.0,0.3950510797818322,6.431291957175568
1,2024-10-01 01:00:00,0.13530844098488234,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.12164656957459176,56.0,99.99993749999999,7.5600000000000005,0.0,16.227089109983027,0.0,0.3883595867970686,6.398955010559476
1,2024-10-01 01:30:00,0.13233660362326416,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.15554243569321383,58.0,99.99991666666665,7.829999999999999,0.0,17.85544829077739,4.069272717344462,0.4080490616829639,6.429879039316479
1,2024-10-01 02:00:00,0.15880339357536088,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.1629772471528952,60.0,99.99989583333331,8.1,0.0,15.653579409531705,0.0,0.39074003938185503,6.463780640728257
1,2024-10-01 02:30:00,0.1346528103360202,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.1372515488619219,62.0,99.99987499999997,8.37,0.0,16.198644512391965,0.0,0.40946349278940797,6.413904359197944
1,2024-10-01 03:00:00,0.15196558310525837,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.185283822002731,64.0,99.99985416666664,8.64,0.0,19.56551836436198,0.0,0.3542884831628341,6.47924940510799
1,2024-10-01 03:30:00,0.18069378570386774,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.13860555432139451,66.0,99.9998333333333,8.91,0.0,19.085441376163956,0.0,0.40502185019557907,6.461299340025263
1,2024-10-01 04:00:00,0.16649436934583545,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.12798252148114928,68.0,99.99981249999996,9.180000000000001,0.0,18.045788421097573,33.74283270145129,0.39085152029429515,6.436476890826986
1,2024-10-01 04:30:00,0.13415491771951496,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.1251776547216488,70.0,99.99979166666662,9.45,0.0,20.443714322640773,17.63279513898901,0.39931937165767767,6.401332572441166
1,2024-10-01 05:00:00,0.13591768003321564,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.1509444434193866,72.0,99.99977083333329,9.719999999999999,0.0,19.8637306225124,0.0,0.46503603489992645,6.428862123452603
1,2024-10-01 05:30:00,0.1511510735315877,0.0,0.0,6.142000000000001,0.0,0.0,0.0,0.0,0.1635646568707268,74.0,99.99974999999995,9.99,0.0,20.82245892799423,29.59888277780052,0.47189029140064004,6.4567157304023155
